file,emotion,face,AUS01,AUS02,AUS04,AUS05,AUS06,AUS07,AUS09,AUS10,AUS12,AUS14,AUS15,AUS17,AUS18,AUS20,AUS22,AUS23,AUS24,AUS25,AUS26,AUS27
aaaaaaaa_6.png,angry,0,0.4808698,0.22170684,0.55472064,0.34120905,0.5381296,1.0,0.53732103,0.02342884,0.0,0.4927341,0.4064011,0.14052403,0.21849294,1.0,0.4596257,0.023246435,0.9978957,0.32697913,0.050575037,0.32335827
aawkxnwq_6.png,angry,0,0.36892027,0.19382793,0.23828982,0.26953608,0.075385295,0.0,0.2623377,0.004279482,1.0,0.056929406,0.35070902,0.18825093,0.4094652,0.0,0.3123562,0.20241846,0.11033314,0.07783562,0.065765746,0.12480605
advjljth_6.png,angry,0,0.18393888,0.15069516,0.46630216,0.27477363,0.653131,1.0,0.6309672,0.6719796,1.0,0.736026,0.36812085,0.4688253,0.37585485,1.0,0.37884736,0.47149917,0.98820657,0.55054796,0.018352596,0.5481897
afyyhcow_6.png,angry,0,0.5370439,0.4181159,0.48146406,0.4384582,0.14440672,0.0,0.3712185,0.012466778,0.0,0.2034637,0.22499181,0.26001048,0.40389982,0.0,0.596797,0.23171762,0.6888211,0.14595999,0.5715788,0.2188958
amzejdso_6.png,angry,0,0.4434172,0.43291858,0.67705506,0.3344378,0.29293272,0.0,0.41762567,0.07251282,0.0,0.23842877,0.2334931,0.30576348,0.3709057,1.0,0.5598622,0.28530353,0.87946683,0.089312956,0.21068062,0.37584165
andtcvhp_6.png,angry,0,0.2797704,0.2426604,0.31200433,0.42163318,0.11406667,1.0,0.48541388,0.17064422,0.0,0.08064865,0.6742526,0.18702032,0.36502117,1.0,0.5773823,0.39371395,0.9199068,0.19584168,0.32608026,0.25889987
aqsmjmzh_6.png,angry,0,0.4307948,0.25896534,0.13396528,0.41414303,0.2300023,0.0,0.25108063,0.003238208,1.0,0.087759435,0.4628259,0.40647927,0.4598715,0.0,0.49630877,0.46842754,0.059321925,0.07363653,0.14257948,0.1064572
aslknmnm_6.png,angry,0,0.36985785,0.2893637,0.57443875,0.3266821,0.29372406,1.0,0.4988848,0.81996423,0.0,0.2959767,0.4507616,0.18856503,0.41429186,0.0,0.6577629,0.28197625,0.5451575,0.13084437,0.30855185,0.5237542
auegnaxc_6.png,angry,0,0.31707832,0.34545,0.23658024,0.353242,0.2265674,0.0,0.39962563,0.15643045,0.0,0.26560763,0.18654147,0.15697122,0.32624617,0.0,0.49334863,0.23369627,0.6692422,0.20480216,0.13651417,0.44583175
azikakjh_6.png,angry,0,0.30002347,0.17871891,0.77219343,0.28253144,0.27508184,0.0,0.47519118,0.637893,0.0,0.14332007,0.35780352,0.15879862,0.39924932,0.0,0.13002528,0.42323622,0.1845423,0.09624698,0.38429484,0.13212158
